sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,25000,0,25000,0,4.652000,11.176750,13.636500,27.544250,41.527100,114.287910,362.800261,15389.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,50000,0,50000,0,3.899000,9.853000,12.149000,15.981250,46.728200,89.418520,378.884500,5884.893000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,75000,0,75000,0,4.598000,9.741750,12.139000,15.598250,49.543600,229.759280,5066.949726,5885.255000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,100000,0,100000,0,4.559000,10.104000,12.616000,16.409000,33.428400,138.923520,675.470945,2829.527000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,125000,0,125000,0,4.170000,10.537000,13.286000,18.090250,31.960000,147.830590,566.754163,58988.619000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,150000,0,150000,0,4.419000,10.887000,14.089000,20.192250,38.120100,551.991160,1542.711948,7256.383000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,175000,0,175000,0,4.769000,11.399000,15.178000,22.294000,41.090000,614.702440,1269.244268,5956.511000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,200000,0,200000,0,4.234000,11.791000,16.220500,24.689000,43.878100,602.600380,1092.302811,10925.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,225000,0,225000,0,4.046000,12.312000,17.948000,29.167000,50.923200,834.398870,1356.627488,26918.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
